Ticker,Nama,Type,Region
^JKSE,IHSG,Index,Asean
^IXIC,NASDAQ,Index,America
^GSPC,S&P 500,Index,America
^DJI,DOW JONES,Index,America
^KS11,KOSPI,Index,Asia
^N225,NIKKEI 225,Index,Asia
^HIS,HANG SENG,Index,Asia
000001.SS,SSE,Index,Asia
^GDAXI,DAX,Index,Europe
^FTSE,FTSE 100,Index,Europe
^SET.BK,Thailand Stock Index,Index,Asean
^VNINDEX.VN,Vietnam Stock Index,Index,Asean
^KLSE,Malaysia Stock Index,Index,Asean
^PSEI.PS,Filipina Stock Index,Index,Asean
^BSESN,Sensex India,Index,Asia
^VIX,CBOE Volatility Index,Index,America
^RUT,Russell 2000,Index,America
GC=F,Gold,Commodities,Global
SI=F,Silver,Commodities,Global
BTC-USD,Bitcoin,Crypto,Global
ETH-USD,Ethereum,Crypto,Global
SOL-USD,Solana,Crypto,Global
^FCHI,CAC 40,Index,Europe
IDXENERGY.JK,IDX ENERGY,Index,Indonesia
IDXFINANCE.JK,IDX FINANCE,Index,Indonesia
IDXTRANS.JK,IDX TRANSPOERTATION,Index,Indonesia
IDXCYCLIC.JK,IDX CYCLIC,Index,Indonesia
IDXNONCYC.JK,IDX NONCYCLICAL,Index,Indonesia
IDXTECHNO.JK,IDX TECHNOLOGY,Index,Indonesia
IDXBASIC.JK,IDX BASIC,Index,Indonesia
IDXPROPERT.JK,IDX PROPERTY,Index,Indonesia
IDXINDUST.JK,IDX INDUSTRY,Index,Indonesia
IDXHEALTH.JK,IDX HEALTH,Index,Indonesia
IDXINFRA.JK,IDX INFRASTUCTURE,Index,Indonesia
AALI.JK,Astra Agro Lestari Tbk.,Stock,Indonesia
ABBA.JK,Mahaka Media Tbk.,Stock,Indonesia
ABDA.JK,Asuransi Bina Dana Arta Tbk.,Stock,Indonesia
ABMM.JK,ABM Investama Tbk.,Stock,Indonesia
ACES.JK,Aspirasi Hidup Indonesia Tbk.,Stock,Indonesia
ACRO.JK,Samcro Hyosung Adilestari Tbk.,Stock,Indonesia
ACST.JK,Acset Indonusa Tbk.,Stock,Indonesia
ADCP.JK,Adhi Commuter Properti Tbk.,Stock,Indonesia
ADES.JK,Akasha Wira International Tbk.,Stock,Indonesia
ADHI.JK,Adhi Karya (Persero) Tbk.,Stock,Indonesia
ADMF.JK,Adira Dinamika Multi Finance T,Stock,Indonesia
ADMG.JK,Polychem Indonesia Tbk,Stock,Indonesia
ADMR.JK,Adaro Minerals Indonesia Tbk.,Stock,Indonesia
ADRO.JK,Alamtri Resources Indonesia Tb,Stock,Indonesia
AEGS.JK,Anugerah Spareparts Sejahtera,Stock,Indonesia
AGAR.JK,Asia Sejahtera Mina Tbk.,Stock,Indonesia
AGII.JK,Samator Indo Gas Tbk.,Stock,Indonesia
AGRO.JK,Bank Raya Indonesia Tbk.,Stock,Indonesia
AGRS.JK,Bank IBK Indonesia Tbk.,Stock,Indonesia
AHAP.JK,Asuransi Harta Aman Pratama Tbk.,Stock,Indonesia
AIMS.JK,Artha Mahiya Investama Tbk.,Stock,Indonesia
AISA.JK,FKS Food Sejahtera Tbk.,Stock,Indonesia
AKKU.JK,Anugerah Kagum Karya Utama Tbk,Stock,Indonesia
AKPI.JK,Argha Karya Prima Industry Tbk,Stock,Indonesia
AKRA.JK,AKR Corporindo Tbk.,Stock,Indonesia
AKSI.JK,Mineral Sumberdaya Mandiri Tbk,Stock,Indonesia
ALDO.JK,Alkindo Naratama Tbk.,Stock,Indonesia
ALII.JK,Ancara Logistics Indonesia Tbk,Stock,Indonesia
ALKA.JK,Alakasa Industrindo Tbk,Stock,Indonesia
ALMI.JK,Alumindo Light Metal Industry,Stock,Indonesia
ALTO.JK,Tri Banyan Tirta Tbk.,Stock,Indonesia
AMAG.JK,Asuransi Multi Artha Guna Tbk.,Stock,Indonesia
AMAN.JK,Makmur Berkah Amanda Tbk.,Stock,Indonesia
AMAR.JK,Bank Amar Indonesia Tbk.,Stock,Indonesia
AMFG.JK,Asahimas Flat Glass Tbk.,Stock,Indonesia
AMIN.JK,Ateliers Mecaniques D Indonesi,Stock,Indonesia
AMMN.JK,Amman Mineral Internasional Tb,Stock,Indonesia
AMMS.JK,Agung Menjangan Mas Tbk.,Stock,Indonesia
AMOR.JK,Ashmore Asset Management Indon,Stock,Indonesia
AMRT.JK,Sumber Alfaria Trijaya Tbk.,Stock,Indonesia
ANDI.JK,Andira Agro Tbk.,Stock,Indonesia
ANJT.JK,Austindo Nusantara Jaya Tbk.,Stock,Indonesia
ANTM.JK,Aneka Tambang Tbk.,Stock,Indonesia
APEX.JK,Apexindo Pratama Duta Tbk.,Stock,Indonesia
APIC.JK,Pacific Strategic Financial Tb,Stock,Indonesia
APII.JK,Arita Prima Indonesia Tbk.,Stock,Indonesia
APLI.JK,Asiaplast Industries Tbk.,Stock,Indonesia
APLN.JK,Agung Podomoro Land Tbk.,Stock,Indonesia
ARCI.JK,Archi Indonesia Tbk.,Stock,Indonesia
AREA.JK,Dunia Virtual Online Tbk.,Stock,Indonesia
ARGO.JK,Argo Pantes Tbk,Stock,Indonesia
ARII.JK,Atlas Resources Tbk.,Stock,Indonesia
ARKA.JK,Arkha Jayanti Persada Tbk.,Stock,Indonesia
ARKO.JK,Arkora Hydro Tbk.,Stock,Indonesia
ARMY.JK,Armidian Karyatama Tbk.,Stock,Indonesia
ARNA.JK,Arwana Citramulia Tbk.,Stock,Indonesia
ARTA.JK,Arthavest Tbk,Stock,Indonesia
ARTI.JK,Ratu Prabu Energi Tbk,Stock,Indonesia
ARTO.JK,Bank Jago Tbk.,Stock,Indonesia
ASBI.JK,Asuransi Bintang Tbk.,Stock,Indonesia
ASDM.JK,Asuransi Dayin Mitra Tbk.,Stock,Indonesia
ASGR.JK,Astra Graphia Tbk.,Stock,Indonesia
ASHA.JK,Cilacap Samudera Fishing Indus,Stock,Indonesia
ASII.JK,Astra International Tbk.,Stock,Indonesia
ASJT.JK,Asuransi Jasa Tania Tbk.,Stock,Indonesia
ASLC.JK,Autopedia Sukses Lestari Tbk.,Stock,Indonesia
ASLI.JK,Asri Karya Lestari Tbk.,Stock,Indonesia
ASMI.JK,Asuransi Maximus Graha Persada,Stock,Indonesia
ASPI.JK,Andalan Sakti Primaindo Tbk.,Stock,Indonesia
ASRI.JK,Alam Sutera Realty Tbk.,Stock,Indonesia
ASRM.JK,Asuransi Ramayana Tbk.,Stock,Indonesia
ASSA.JK,Adi Sarana Armada Tbk.,Stock,Indonesia
ATAP.JK,Trimitra Prawara Goldland Tbk.,Stock,Indonesia
ATIC.JK,Anabatic Technologies Tbk.,Stock,Indonesia
ATLA.JK,Atlantis Subsea Indonesia Tbk.,Stock,Indonesia
AUTO.JK,Astra Otoparts Tbk.,Stock,Indonesia
AVIA.JK,Avia Avian Tbk.,Stock,Indonesia
AWAN.JK,Era Digital Media Tbk.,Stock,Indonesia
AXIO.JK,Tera Data Indonusa Tbk.,Stock,Indonesia
AYAM.JK,Janu Putra Sejahtera Tbk.,Stock,Indonesia
AYLS.JK,Agro Yasa Lestari Tbk.,Stock,Indonesia
PTBA.JK,Bukit Asam Tbk.,Stock,Indonesia
BABP.JK,Bank MNC Internasional Tbk.,Stock,Indonesia
BABY.JK,Multitrend Indo Tbk.,Stock,Indonesia
BACA.JK,Bank Capital Indonesia Tbk.,Stock,Indonesia
BAIK.JK,Bersama Mencapai Puncak Tbk.,Stock,Indonesia
BAJA.JK,Saranacentral Bajatama Tbk.,Stock,Indonesia
BALI.JK,Bali Towerindo Sentra Tbk.,Stock,Indonesia
BANK.JK,Bank Aladin Syariah Tbk.,Stock,Indonesia
BAPA.JK,Bekasi Asri Pemula Tbk.,Stock,Indonesia
BAPI.JK,Bhakti Agung Propertindo Tbk.,Stock,Indonesia
BATA.JK,Sepatu Bata Tbk.,Stock,Indonesia
BATR.JK,Benteng Api Technic Tbk.,Stock,Indonesia
BAUT.JK,Mitra Angkasa Sejahtera Tbk.,Stock,Indonesia
BAYU.JK,Bayu Buana Tbk,Stock,Indonesia
BBCA.JK,Bank Central Asia Tbk.,Stock,Indonesia
BBHI.JK,Allo Bank Indonesia Tbk.,Stock,Indonesia
BBKP.JK,Bank KB Bukopin Tbk.,Stock,Indonesia
BBLD.JK,Buana Finance Tbk.,Stock,Indonesia
BBMD.JK,Bank Mestika Dharma Tbk.,Stock,Indonesia
BBNI.JK,Bank Negara Indonesia (Persero) Tbk.,Stock,Indonesia
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk.,Stock,Indonesia
BBRM.JK,Pelayaran Nasional Bina Buana,Stock,Indonesia
BBSI.JK,Krom Bank Indonesia Tbk.,Stock,Indonesia
BBSS.JK,Bumi Benowo Sukses Sejahtera T,Stock,Indonesia
BBTN.JK,Bank Tabungan Negara (Persero),Stock,Indonesia
BBYB.JK,Bank Neo Commerce Tbk.,Stock,Indonesia
BCAP.JK,MNC Kapital Indonesia Tbk.,Stock,Indonesia
BCIC.JK,Bank JTrust Indonesia Tbk.,Stock,Indonesia
BCIP.JK,Bumi Citra Permai Tbk.,Stock,Indonesia
BDKR.JK,Berdikari Pondasi Perkasa Tbk.,Stock,Indonesia
BDMN.JK,Bank Danamon Indonesia Tbk.,Stock,Indonesia
BEBS.JK,Berkah Beton Sadaya Tbk.,Stock,Indonesia
BEEF.JK,Estika Tata Tiara Tbk.,Stock,Indonesia
BEER.JK,Jobubu Jarum Minahasa Tbk.,Stock,Indonesia
BEKS.JK,Bank Pembangunan Daerah Banten,Stock,Indonesia
BELI.JK,Global Digital Niaga Tbk.,Stock,Indonesia
BELL.JK,Trisula Textile Industries Tbk,Stock,Indonesia
BESS.JK,Batulicin Nusantara Maritim Tb,Stock,Indonesia
BEST.JK,Bekasi Fajar Industrial Estate,Stock,Indonesia
BFIN.JK,BFI Finance Indonesia Tbk.,Stock,Indonesia
BGTG.JK,Bank Ganesha Tbk.,Stock,Indonesia
BHAT.JK,Bhakti Multi Artha Tbk.,Stock,Indonesia
BHIT.JK,MNC Asia Holding Tbk.,Stock,Indonesia
BIKA.JK,Binakarya Jaya Abadi Tbk.,Stock,Indonesia
BIKE.JK,Sepeda Bersama Indonesia Tbk.,Stock,Indonesia
BIMA.JK,Primarindo Asia Infrastructure,Stock,Indonesia
BINA.JK,Bank Ina Perdana Tbk.,Stock,Indonesia
BINO.JK,Perma Plasindo Tbk.,Stock,Indonesia
BIPI.JK,Astrindo Nusantara Infrastrukt,Stock,Indonesia
BIPP.JK,Bhuwanatala Indah Permai Tbk.,Stock,Indonesia
BIRD.JK,Blue Bird Tbk.,Stock,Indonesia
BISI.JK,BISI International Tbk.,Stock,Indonesia
BJBR.JK,Bank Pembangunan Daerah Jawa B,Stock,Indonesia
BJTM.JK,Bank Pembangunan Daerah Jawa T,Stock,Indonesia
BKDP.JK,Bukit Darmo Property Tbk.,Stock,Indonesia
BKSL.JK,Sentul City Tbk.,Stock,Indonesia
BKSW.JK,Bank QNB Indonesia Tbk.,Stock,Indonesia
BLES.JK,Superior Prima Sukses Tbk.,Stock,Indonesia
BLTA.JK,Berlian Laju Tanker Tbk,Stock,Indonesia
BLTZ.JK,Graha Layar Prima Tbk.,Stock,Indonesia
BLUE.JK,Berkah Prima Perkasa Tbk.,Stock,Indonesia
BMAS.JK,Bank Maspion Indonesia Tbk.,Stock,Indonesia
BMBL.JK,Lavender Bina Cendikia Tbk.,Stock,Indonesia
BMHS.JK,Bundamedik Tbk.,Stock,Indonesia
BMRI.JK,Bank Mandiri (Persero) Tbk.,Stock,Indonesia
BMSR.JK,Bintang Mitra Semestaraya Tbk,Stock,Indonesia
BMTR.JK,Global Mediacom Tbk.,Stock,Indonesia
BNBA.JK,Bank Bumi Arta Tbk.,Stock,Indonesia
BNBR.JK,Bakrie & Brothers Tbk,Stock,Indonesia
BNGA.JK,Bank CIMB Niaga Tbk.,Stock,Indonesia
BNII.JK,Bank Maybank Indonesia Tbk.,Stock,Indonesia
BNLI.JK,Bank Permata Tbk.,Stock,Indonesia
BOAT.JK,Newport Marine Services Tbk.,Stock,Indonesia
BOBA.JK,Formosa Ingredient Factory Tbk,Stock,Indonesia
BOGA.JK,Bintang Oto Global Tbk.,Stock,Indonesia
BOLA.JK,Bali Bintang Sejahtera Tbk.,Stock,Indonesia
BOLT.JK,Garuda Metalindo Tbk.,Stock,Indonesia
BOSS.JK,Borneo Olah Sarana Sukses Tbk.,Stock,Indonesia
BPFI.JK,Woori Finance Indonesia Tbk.,Stock,Indonesia
BPII.JK,Batavia Prosperindo Internasio,Stock,Indonesia
BPTR.JK,Batavia Prosperindo Trans Tbk.,Stock,Indonesia
BRPT.JK,Barito Pacific Tbk.,Stock,Indonesia
BRAM.JK,Indo Kordsa Tbk.,Stock,Indonesia
BREN.JK,Barito Renewables Energy Tbk.,Stock,Indonesia
BRIS.JK,Bank Syariah Indonesia Tbk.,Stock,Indonesia
BRMS.JK,Bumi Resources Minerals Tbk.,Stock,Indonesia
BRNA.JK,Berlina Tbk.,Stock,Indonesia
BSBK.JK,Wulandari Bangun Laksana Tbk.,Stock,Indonesia
BSDE.JK,Bumi Serpong Damai Tbk.,Stock,Indonesia
BSIM.JK,Bank Sinarmas Tbk.,Stock,Indonesia
BSML.JK,Bintang Samudera Mandiri Lines,Stock,Indonesia
BSSR.JK,Baramulti Suksessarana Tbk.,Stock,Indonesia
BSWD.JK,Bank Of India Indonesia Tbk.,Stock,Indonesia
BTEK.JK,Bumi Teknokultura Unggul Tbk,Stock,Indonesia
BTEL.JK,Bakrie Telecom Tbk.,Stock,Indonesia
BTON.JK,Betonjaya Manunggal Tbk.,Stock,Indonesia
BTPN.JK,Bank SMBC Indonesia Tbk.,Stock,Indonesia
BTPS.JK,Bank BTPN Syariah Tbk.,Stock,Indonesia
BUAH.JK,Segar Kumala Indonesia Tbk.,Stock,Indonesia
BUDI.JK,Budi Starch & Sweetener Tbk.,Stock,Indonesia
BUKA.JK,Bukalapak.com Tbk.,Stock,Indonesia
BUKK.JK,Bukaka Teknik Utama Tbk.,Stock,Indonesia
BULL.JK,Buana Lintas Lautan Tbk.,Stock,Indonesia
BUMI.JK,Bumi Resources Tbk.,Stock,Indonesia
BUVA.JK,Bukit Uluwatu Villa Tbk.,Stock,Indonesia
BVIC.JK,Bank Victoria International Tb,Stock,Indonesia
BWPT.JK,Eagle High Plantations Tbk.,Stock,Indonesia
BYAN.JK,Bayan Resources Tbk.,Stock,Indonesia
CAKK.JK,Cahayaputra Asa Keramik Tbk.,Stock,Indonesia
CAMP.JK,Campina Ice Cream Industry Tbk,Stock,Indonesia
CANI.JK,Capitol Nusantara Indonesia Tb,Stock,Indonesia
CARE.JK,Metro Healthcare Indonesia Tbk,Stock,Indonesia
CARS.JK,Industri dan Perdagangan Bintr,Stock,Indonesia
CASA.JK,Capital Financial Indonesia Tb,Stock,Indonesia
CASH.JK,Cashlez Worldwide Indonesia Tb,Stock,Indonesia
CASS.JK,Cardig Aero Services Tbk.,Stock,Indonesia
CBMF.JK,Cahaya Bintang Medan Tbk.,Stock,Indonesia
CBPE.JK,Citra Buana Prasida Tbk.,Stock,Indonesia
CBRE.JK,Cakra Buana Resources Energi T,Stock,Indonesia
CBUT.JK,Citra Borneo Utama Tbk.,Stock,Indonesia
CCSI.JK,Communication Cable Systems In,Stock,Indonesia
CEKA.JK,Wilmar Cahaya Indonesia Tbk.,Stock,Indonesia
CENT.JK,Centratama Telekomunikasi Indo,Stock,Indonesia
CFIN.JK,Clipan Finance Indonesia Tbk.,Stock,Indonesia
CGAS.JK,Citra Nusantara Gemilang Tbk.,Stock,Indonesia
CHEM.JK,Chemstar Indonesia Tbk.,Stock,Indonesia
CHIP.JK,Pelita Teknologi Global Tbk.,Stock,Indonesia
CINT.JK,Chitose Internasional Tbk.,Stock,Indonesia
CITA.JK,Cita Mineral Investindo Tbk.,Stock,Indonesia
CITY.JK,Natura City Developments Tbk.,Stock,Indonesia
CLAY.JK,Citra Putra Realty Tbk.,Stock,Indonesia
CLEO.JK,Sariguna Primatirta Tbk.,Stock,Indonesia
CLPI.JK,Colorpak Indonesia Tbk.,Stock,Indonesia
CMNP.JK,Citra Marga Nusaphala Persada,Stock,Indonesia
CMNT.JK,Cemindo Gemilang Tbk.,Stock,Indonesia
CMPP.JK,AirAsia Indonesia Tbk.,Stock,Indonesia
CMRY.JK,Cisarua Mountain Dairy Tbk.,Stock,Indonesia
CNKO.JK,Exploitasi Energi Indonesia Tb,Stock,Indonesia
CNMA.JK,Nusantara Sejahtera Raya Tbk.,Stock,Indonesia
CNTX.JK,Century Textile Industry Tbk.,Stock,Indonesia
COAL.JK,Black Diamond Resources Tbk.,Stock,Indonesia
COCO.JK,Wahana Interfood Nusantara Tbk,Stock,Indonesia
COWL.JK,Cowell Development Tbk.,Stock,Indonesia
CPIN.JK,Charoen Pokphand Indonesia Tbk,Stock,Indonesia
CPRI.JK,Capri Nusa Satu Properti Tbk.,Stock,Indonesia
CPRO.JK,Central Proteina Prima Tbk.,Stock,Indonesia
CRAB.JK,Toba Surimi Industries Tbk.,Stock,Indonesia
CRSN.JK,Carsurin Tbk.,Stock,Indonesia
CSAP.JK,Catur Sentosa Adiprana Tbk.,Stock,Indonesia
CSIS.JK,Cahayasakti Investindo Sukses,Stock,Indonesia
CSMI.JK,Cia Selera Murni Tbk.,Stock,Indonesia
CSRA.JK,Cisadane Sawit Raya Tbk.,Stock,Indonesia
CTBN.JK,Citra Tubindo Tbk.,Stock,Indonesia
CTRA.JK,Ciputra Development Tbk.,Stock,Indonesia
CTTH.JK,Citatah Tbk.,Stock,Indonesia
CUAN.JK,Petrindo Jaya Kreasi Tbk.,Stock,Indonesia
CYBR.JK,ITSEC Asia Tbk.,Stock,Indonesia
DAAZ.JK,Daaz Bara Lestari Tbk.,Stock,Indonesia
DADA.JK,Diamond Citra Propertindo Tbk.,Stock,Indonesia
DART.JK,Duta Anggada Realty Tbk.,Stock,Indonesia
DATA.JK,Remala Abadi Tbk.,Stock,Indonesia
DAYA.JK,Duta Intidaya Tbk.,Stock,Indonesia
DCII.JK,DCI Indonesia Tbk.,Stock,Indonesia
DEAL.JK,Dewata Freightinternational Tb,Stock,Indonesia
DEFI.JK,Danasupra Erapacific Tbk.,Stock,Indonesia
DEPO.JK,Caturkarda Depo Bangunan Tbk.,Stock,Indonesia
DEWA.JK,Darma Henwa Tbk,Stock,Indonesia
DEWI.JK,Dewi Shri Farmindo Tbk.,Stock,Indonesia
DFAM.JK,Dafam Property Indonesia Tbk.,Stock,Indonesia
DGIK.JK,Nusa Konstruksi Enjiniring Tbk,Stock,Indonesia
DGNS.JK,Diagnos Laboratorium Utama Tbk,Stock,Indonesia
DIGI.JK,Arkadia Digital Media Tbk.,Stock,Indonesia
DILD.JK,Intiland Development Tbk.,Stock,Indonesia
DIVA.JK,Distribusi Voucher Nusantara T,Stock,Indonesia
DKFT.JK,Central Omega Resources Tbk.,Stock,Indonesia
DLTA.JK,Delta Djakarta Tbk.,Stock,Indonesia
DMAS.JK,Puradelta Lestari Tbk.,Stock,Indonesia
DMMX.JK,Digital Mediatama Maxima Tbk.,Stock,Indonesia
DMND.JK,Diamond Food Indonesia Tbk.,Stock,Indonesia
DNAR.JK,Bank Oke Indonesia Tbk.,Stock,Indonesia
DNET.JK,Indoritel Makmur Internasional,Stock,Indonesia
DOID.JK,Delta Dunia Makmur Tbk.,Stock,Indonesia
DOOH.JK,Era Media Sejahtera Tbk.,Stock,Indonesia
DOSS.JK,Global Sukses Digital Tbk.,Stock,Indonesia
DPNS.JK,Duta Pertiwi Nusantara Tbk.,Stock,Indonesia
DPUM.JK,Dua Putra Utama Makmur Tbk.,Stock,Indonesia
DRMA.JK,Dharma Polimetal Tbk.,Stock,Indonesia
DSFI.JK,Dharma Samudera Fishing Indust,Stock,Indonesia
DSNG.JK,Dharma Satya Nusantara Tbk.,Stock,Indonesia
DSSA.JK,Dian Swastatika Sentosa Tbk,Stock,Indonesia
PTDU.JK,Djasa Ubersakti Tbk.,Stock,Indonesia
DUCK.JK,Jaya Bersama Indo Tbk.,Stock,Indonesia
DUTI.JK,Duta Pertiwi Tbk,Stock,Indonesia
DVLA.JK,Darya-Varia Laboratoria Tbk.,Stock,Indonesia
DWGL.JK,Dwi Guna Laksana Tbk.,Stock,Indonesia
DYAN.JK,Dyandra Media International Tb,Stock,Indonesia
EAST.JK,Eastparc Hotel Tbk.,Stock,Indonesia
ECII.JK,Electronic City Indonesia Tbk.,Stock,Indonesia
EDGE.JK,Indointernet Tbk.,Stock,Indonesia
EKAD.JK,Ekadharma International Tbk.,Stock,Indonesia
ELIT.JK,Data Sinergitama Jaya Tbk.,Stock,Indonesia
ELPI.JK,Pelayaran Nasional Ekalya Purn,Stock,Indonesia
ELSA.JK,Elnusa Tbk.,Stock,Indonesia
ELTY.JK,Bakrieland Development Tbk.,Stock,Indonesia
EMDE.JK,Megapolitan Developments Tbk.,Stock,Indonesia
EMTK.JK,Elang Mahkota Teknologi Tbk.,Stock,Indonesia
ENAK.JK,Champ Resto Indonesia Tbk.,Stock,Indonesia
ENRG.JK,Energi Mega Persada Tbk.,Stock,Indonesia
ENVY.JK,Envy Technologies Indonesia Tb,Stock,Indonesia
ENZO.JK,Morenzo Abadi Perkasa Tbk.,Stock,Indonesia
EPAC.JK,Megalestari Epack Sentosaraya,Stock,Indonesia
EPMT.JK,Enseval Putera Megatrading Tbk,Stock,Indonesia
ERAA.JK,Erajaya Swasembada Tbk.,Stock,Indonesia
ERAL.JK,Sinar Eka Selaras Tbk.,Stock,Indonesia
